UMAP1,UMAP2,cluster
0.8528396,2.9346693,2
0.85187715,3.2711256,2
1.1785344,3.1028132,2
0.81151116,3.194747,2
0.7095722,3.4563413,2
0.7880571,3.1422243,2
1.0217167,2.895018,2
3.008729,0.71282995,2
1.2908813,2.8314362,2
0.68783706,2.5458658,2
1.673838,2.0105515,2
1.3470597,2.9675055,2
1.0309234,2.523455,2
0.98953533,4.6002235,0
1.0121133,2.624218,2
-0.51379216,5.11016,0
0.81113285,3.1779354,2
3.0923133,4.672393,1
1.0998117,3.2431617,2
1.0155264,3.1048794,2
-1.3926586,5.184969,0
0.8653423,3.089658,2
1.5285157,2.0212367,2
-0.24683726,4.074964,0
0.53530824,3.5070689,2
1.2473819,3.0247033,2
1.7597033,2.425243,2
2.05611,3.8337598,1
0.93241334,2.673776,2
1.9270229,1.8616586,2
-1.7978703,5.56073,0
-2.003005,5.6243606,0
-1.5195597,5.6266985,0
-2.0091112,5.4902062,0
-1.0667553,4.697235,0
2.7154198,0.7035091,2
-0.6299581,2.746249,2
1.136765,1.4387587,2
1.4397197,2.05358,2
-0.18182832,0.96281904,2
2.0814903,2.5729818,2
1.8276583,1.82335,2
2.183061,1.6479136,2
2.2581303,3.0166976,1
-2.0122528,5.755322,0
2.07818,3.1293883,1
-1.8900386,5.660181,0
1.7870947,1.6855489,2
2.807117,4.670747,1
-1.9074477,5.6282334,0
2.2554293,4.699877,1
1.0719975,3.5903769,2
-0.24379012,0.68219966,2
-1.1784395,1.1599349,2
-1.0667249,0.9572612,2
-0.6300267,5.1358814,0
-0.5799053,5.075465,0
-2.0554206,5.50207,0
0.6645346,4.1892347,0
1.2239777,1.579647,2
2.0512073,2.7329931,2
0.6156316,1.8004577,2
1.5793339,2.0531132,2
-0.7330585,3.8924172,0
0.07846884,1.459742,2
-0.9857495,3.227005,2
2.0567918,1.7241036,2
2.0399978,1.7634879,2
1.0475692,3.9574723,2
0.9038913,5.643269,0
-2.1418788,5.624541,0
-1.5570803,5.8322597,0
3.5558708,4.1886153,1
3.6361494,4.0845137,1
3.5197446,4.0216703,1
3.4731364,4.4996514,1
3.5023506,4.1444783,1
0.690489,0.9643403,2
3.514989,4.1741333,1
3.5238512,4.3276896,1
3.5098672,4.1211305,1
3.480936,4.286153,1
3.5526338,4.082503,1
3.6575358,3.9774382,1
3.7645576,3.9946058,1
3.5298645,4.2984824,1
3.6451118,4.0143833,1
3.628171,4.0723233,1
3.7623665,3.0369797,1
2.1184201,4.3936987,1
1.296619,6.0484176,0
-2.1298127,6.3722167,0
3.5089746,3.956162,1
3.0806315,4.7854824,1
0.8319867,5.087718,0
2.8955414,4.233678,1
3.1184049,3.9842012,1
2.4354794,4.5283985,1
3.1682835,2.6701636,1
3.0403168,3.9854007,1
3.3001502,4.195982,1
2.6232722,4.550908,1
3.0538757,3.5086968,1
1.4062613,5.733185,0
3.3487995,3.715073,1
1.1071937,5.43319,0
3.2189305,3.4143696,1
-1.8603132,6.4144015,0
3.475489,3.3530307,1
1.1466367,6.168493,0
-1.4595461,6.0917945,0
3.3124783,4.5377884,1
-1.5107222,6.0198164,0
3.5284927,4.711145,1
3.483206,4.703232,1
3.4394956,4.0097766,1
0.87065023,5.949669,0
3.5085413,4.6601567,1
3.5364056,4.702139,1
3.0600035,0.90648097,2
3.3480246,4.9737864,1
3.2614205,5.072888,1
3.0879738,5.213139,1
3.5829983,4.558845,1
3.867063,4.5507255,1
3.5682786,4.3143663,1
3.7066815,4.4609222,1
2.93568,0.8938768,2
1.7267951,5.472605,1
2.5452597,5.3120756,1
3.2764256,3.5526686,1
3.2534683,3.1749086,1
3.1184614,3.4307733,1
3.5083408,3.4708698,1
-1.1263064,6.255693,0
3.5177443,3.7542207,1
-1.5116704,6.2672644,0
4.3708386,4.1280556,1
4.694822,4.545891,1
4.7354836,4.5022717,1
-2.1610637,6.570516,0
4.657145,4.454598,1
4.734916,4.499406,1
4.77735,4.314417,1
4.782084,4.53023,1
4.772932,4.487833,1
4.8374343,4.252875,1
1.0462207,6.196877,0
4.7757916,3.9449651,1
4.236108,3.8078675,1
4.397035,4.2911854,1
-1.1339625,5.400333,0
4.8314757,4.150325,1
4.754996,4.77534,1
3.9304388,3.9706893,1
4.0869117,3.9472017,1
3.897343,3.872409,1
-2.231519,6.4438753,0
4.1198173,3.6340764,1
4.1441503,4.4167547,1
3.943166,3.7330272,1
-2.1758363,6.4697614,0
-1.9733372,6.3301296,0
4.8378897,4.194083,1
4.653912,4.5313187,1
4.718658,4.394027,1
4.878857,4.690705,1
4.6214814,4.644954,1
4.768036,4.5338793,1
4.7906814,4.7261124,1
0.9876966,6.0956063,0
4.7424684,4.5070415,1
4.7339854,4.5277348,1
5.005851,4.331655,1
-2.1432488,6.5905175,0
4.852789,4.22918,1
4.9158034,4.1651583,1
4.853555,4.251497,1
4.066839,4.3645277,1
-2.113507,6.623283,0
3.829236,3.579982,1
0.18042026,0.83327216,2
4.1188226,4.101201,1
-2.1401114,6.596047,0
4.9985666,4.4753003,1
4.9896417,4.4129186,1
5.043161,4.3582387,1
4.8426337,4.1380057,1
4.8920116,4.237955,1
4.962951,4.3142753,1
5.0575657,4.7050705,1
5.0780816,4.5943856,1
4.9466467,4.3078966,1
5.006743,4.4734354,1
3.9993422,4.0886774,1
3.5407612,3.3989866,1
4.0309753,4.18073,1
3.981263,3.8189456,1
3.8533885,3.775268,1
-2.0433903,6.4673276,0
4.1361384,4.365015,1
3.7697375,3.6426363,1
4.1126227,4.0856204,1
4.045322,3.8858452,1
4.1901255,3.8627558,1
4.1908383,3.9118147,1
3.930404,3.7127986,1
3.5310147,2.6886406,1
4.205904,3.4681242,1
4.2204657,3.266539,1
4.0890446,4.1440377,1
4.153922,3.9429135,1
1.1156237,6.224254,0
-2.0741246,6.5044346,0
4.897927,4.467891,1
4.981969,4.0426693,1
5.07839,4.6084375,1
4.960271,4.3456526,1
5.0106072,4.202931,1
4.93236,4.2342014,1
4.967167,4.247538,1
4.9091725,4.426003,1
4.4351044,4.287026,1
1.2204653,6.2802653,0
4.164649,3.8696477,1
-2.1835654,6.4054275,0
3.9450343,3.67383,1
3.8783636,3.467227,1
4.2653036,3.8994505,1
3.950939,3.6097205,1
3.8974712,3.6870964,1
4.203517,3.7724018,1
1.200653,6.226764,0
3.1894598,4.6984067,1
3.051096,0.8028132,2
-1.482432,5.868716,0
0.7288536,4.4564795,0
3.2706673,4.768156,1
3.2412922,4.738603,1
3.3267102,4.4433475,1
2.344091,2.9356158,1
3.3372087,4.8439913,1
0.63897616,1.2624456,2
3.2835088,4.554311,1
3.1080701,4.648731,1
2.801761,3.718323,1
0.833143,5.727656,0
3.0881991,4.8125267,1
-0.4598371,2.1908925,2
-2.1097057,6.295237,0
3.3266265,4.7322617,1
3.8108377,4.6732073,1
4.123131,4.795448,1
4.022307,4.721471,1
4.638193,4.606388,1
3.664677,5.0974855,1
-0.8451198,5.709356,0
4.014254,4.690145,1
2.5970578,3.5379188,1
3.104586,3.268066,1
-1.9311986,6.082142,0
3.0387673,3.301083,1
3.0185564,3.2577412,1
3.2801661,3.3325953,1
2.97857,3.6524327,1
1.7809362,5.223154,1
3.299824,4.461062,1
1.6912981,5.7740498,1
0.6846224,4.506987,0
2.9107537,1.5836347,2
1.3861742,5.913535,0
2.9302561,3.902896,1
3.1437204,3.703092,1
2.7915916,4.926054,1
2.8921611,4.7832565,1
3.7664554,4.6183376,1
3.82963,4.5864425,1
4.4363465,4.4196815,1
3.874939,3.8675714,1
3.8023071,4.561019,1
0.7746708,5.016977,0
3.055642,5.157219,1
2.6261985,4.8961244,1
1.7270911,5.226833,1
-0.77910554,5.770754,0
3.300622,4.353943,1
2.761596,4.5659933,1
0.106525026,2.8614366,2
1.5548974,5.828625,0
0.9964098,5.030604,0
1.2463497,4.141355,1
-1.6882986,5.6968846,0
-1.0586287,5.1700635,0
-0.8230107,5.1857696,0
2.51932,1.9306524,2
1.3171669,2.994051,2
-0.5013634,5.5333652,0
-0.09588447,5.1579347,0
0.6334491,4.7277575,0
0.6124908,4.7695646,0
8.23302,5.873267,1
8.514308,5.972879,1
8.538424,5.9929028,1
8.567289,6.0318613,1
8.53798,5.99432,1
8.515647,5.996152,1
8.505994,5.9708285,1
8.537733,5.96685,1
8.544899,5.9780335,1
8.4852915,5.979055,1
8.539567,6.0481243,1
8.51458,5.9690647,1
8.553979,6.0127697,1
8.549106,6.004081,1
8.4878845,5.947713,1
8.527676,5.9838395,1
8.543661,5.9912686,1
8.522475,5.9856234,1
8.565556,6.0358458,1
8.50096,5.97948,1
0.35083047,1.6364598,2
-0.6024085,0.7861435,2
