UMAP1,UMAP2
-0.6313494,2.9812355
0.64918625,1.3541751
0.80208856,1.3790667
0.23476015,3.4579093
1.3218211,2.5901258
0.82266575,2.9774263
-1.018631,1.0405111
2.502133,3.6124184
0.47472724,1.1705556
-1.9465052,4.9685035
-2.2241251,6.082652
0.37660515,2.2343917
1.6924095,1.6418128
1.2402551,2.018151
-0.7326065,3.0803077
-1.5607363,5.306009
0.649295,5.233364
1.0587121,3.5375845
2.338532,2.883745
2.387426,3.1261742
-1.0481324,2.8354213
2.1655633,3.1258307
-0.5219935,4.063725
1.3214844,2.5630248
0.80270475,1.6100553
-2.0402224,5.646554
0.25923458,2.2773848
0.40156326,2.4990482
1.5598469,3.0791597
1.4414208,2.7223134
2.827166,0.7427712
1.3431234,2.615705
1.279613,2.4835482
0.28590336,3.886935
-0.105651826,2.1663952
1.8123399,3.0734625
1.5422924,2.2355425
0.34774125,1.8613201
0.4854927,1.822098
1.3737701,2.929349
0.152999,4.6572776
1.6973101,3.1398408
-2.0866168,5.628835
1.402159,2.170992
-1.2310659,4.981817
0.25962797,2.365298
0.21546227,2.2288182
1.5216079,2.7399294
1.346105,2.476933
1.5862591,2.7540977
0.91864574,3.192537
3.4477627,3.678158
1.1270877,3.0102365
-1.5480976,5.701472
2.1561754,2.958844
0.5589985,2.7259786
0.4329936,2.796127
-2.092541,6.043688
2.5318372,2.3365943
0.8528396,2.9346693
0.85187715,3.2711256
1.1785344,3.1028132
0.81151116,3.194747
0.7095722,3.4563413
0.7880571,3.1422243
1.0217167,2.895018
3.008729,0.71282995
1.2908813,2.8314362
0.68783706,2.5458658
1.673838,2.0105515
1.3470597,2.9675055
1.0309234,2.523455
0.98953533,4.6002235
1.0121133,2.624218
-0.51379216,5.11016
0.81113285,3.1779354
3.0923133,4.672393
1.0998117,3.2431617
1.0155264,3.1048794
-1.3926586,5.184969
0.8653423,3.089658
1.5285157,2.0212367
-0.24683726,4.074964
0.53530824,3.5070689
1.2473819,3.0247033
1.7597033,2.425243
2.05611,3.8337598
0.93241334,2.673776
1.9270229,1.8616586
-1.7978703,5.56073
-2.003005,5.6243606
-1.5195597,5.6266985
-2.0091112,5.4902062
-1.0667553,4.697235
2.7154198,0.7035091
-0.6299581,2.746249
1.136765,1.4387587
1.4397197,2.05358
-0.18182832,0.96281904
2.0814903,2.5729818
1.8276583,1.82335
2.183061,1.6479136
2.2581303,3.0166976
-2.0122528,5.755322
2.07818,3.1293883
-1.8900386,5.660181
1.7870947,1.6855489
2.807117,4.670747
-1.9074477,5.6282334
2.2554293,4.699877
1.0719975,3.5903769
-0.24379012,0.68219966
-1.1784395,1.1599349
-1.0667249,0.9572612
-0.6300267,5.1358814
-0.5799053,5.075465
-2.0554206,5.50207
0.6645346,4.1892347
1.2239777,1.579647
2.0512073,2.7329931
0.6156316,1.8004577
1.5793339,2.0531132
-0.7330585,3.8924172
0.07846884,1.459742
-0.9857495,3.227005
2.0567918,1.7241036
2.0399978,1.7634879
1.0475692,3.9574723
0.9038913,5.643269
-2.1418788,5.624541
-1.5570803,5.8322597
3.5558708,4.1886153
3.6361494,4.0845137
3.5197446,4.0216703
3.4731364,4.4996514
3.5023506,4.1444783
0.690489,0.9643403
3.514989,4.1741333
3.5238512,4.3276896
3.5098672,4.1211305
3.480936,4.286153
3.5526338,4.082503
3.6575358,3.9774382
3.7645576,3.9946058
3.5298645,4.2984824
3.6451118,4.0143833
3.628171,4.0723233
3.7623665,3.0369797
2.1184201,4.3936987
1.296619,6.0484176
-2.1298127,6.3722167
3.5089746,3.956162
3.0806315,4.7854824
0.8319867,5.087718
2.8955414,4.233678
3.1184049,3.9842012
2.4354794,4.5283985
3.1682835,2.6701636
3.0403168,3.9854007
3.3001502,4.195982
2.6232722,4.550908
3.0538757,3.5086968
1.4062613,5.733185
3.3487995,3.715073
1.1071937,5.43319
3.2189305,3.4143696
-1.8603132,6.4144015
3.475489,3.3530307
1.1466367,6.168493
-1.4595461,6.0917945
3.3124783,4.5377884
-1.5107222,6.0198164
3.5284927,4.711145
3.483206,4.703232
3.4394956,4.0097766
0.87065023,5.949669
3.5085413,4.6601567
3.5364056,4.702139
3.0600035,0.90648097
3.3480246,4.9737864
3.2614205,5.072888
3.0879738,5.213139
3.5829983,4.558845
3.867063,4.5507255
3.5682786,4.3143663
3.7066815,4.4609222
2.93568,0.8938768
1.7267951,5.472605
2.5452597,5.3120756
3.2764256,3.5526686
3.2534683,3.1749086
3.1184614,3.4307733
3.5083408,3.4708698
-1.1263064,6.255693
3.5177443,3.7542207
-1.5116704,6.2672644
4.3708386,4.1280556
4.694822,4.545891
4.7354836,4.5022717
-2.1610637,6.570516
4.657145,4.454598
4.734916,4.499406
4.77735,4.314417
4.782084,4.53023
4.772932,4.487833
4.8374343,4.252875
1.0462207,6.196877
4.7757916,3.9449651
4.236108,3.8078675
4.397035,4.2911854
-1.1339625,5.400333
4.8314757,4.150325
4.754996,4.77534
3.9304388,3.9706893
4.0869117,3.9472017
3.897343,3.872409
-2.231519,6.4438753
4.1198173,3.6340764
4.1441503,4.4167547
3.943166,3.7330272
-2.1758363,6.4697614
-1.9733372,6.3301296
4.8378897,4.194083
4.653912,4.5313187
4.718658,4.394027
4.878857,4.690705
4.6214814,4.644954
4.768036,4.5338793
4.7906814,4.7261124
0.9876966,6.0956063
4.7424684,4.5070415
4.7339854,4.5277348
5.005851,4.331655
-2.1432488,6.5905175
4.852789,4.22918
4.9158034,4.1651583
4.853555,4.251497
4.066839,4.3645277
-2.113507,6.623283
3.829236,3.579982
0.18042026,0.83327216
4.1188226,4.101201
-2.1401114,6.596047
4.9985666,4.4753003
4.9896417,4.4129186
5.043161,4.3582387
4.8426337,4.1380057
4.8920116,4.237955
4.962951,4.3142753
5.0575657,4.7050705
5.0780816,4.5943856
4.9466467,4.3078966
5.006743,4.4734354
3.9993422,4.0886774
3.5407612,3.3989866
4.0309753,4.18073
3.981263,3.8189456
